Question,Answer
تفاوت اصلی بین شرکت با مسئولیت محدود و شرکت تضامنی چیست؟,در شرکت با مسئولیت محدود، شرکاء تنها تا میزان سرمایه‌ای که در شرکت گذاشته‌اند مسئول هستند، در حالی که در شرکت تضامنی، هر یک از شرکاء مسئول پرداخت تمام قروض شرکت است. (مواد 94 و 116)
چه مدارکی برای تشکیل شرکت با مسئولیت محدود نیاز است؟,برای تشکیل شرکت با مسئولیت محدود نیاز است که تمام سرمایه نقدی پرداخت شده و سهم‌الشرکه‌های غیر نقدی تقویم و تسلیم شود. (مواد 96 و 97)
چگونه تغییرات در اساسنامه شرکت با مسئولیت محدود انجام می‌شود؟,هر تغییر در اساسنامه باید با اکثریت عددی شرکاء که لااقل سه ربع سرمایه را دارا باشند، انجام گیرد. (ماده 111)
چه کسانی در شرکت با مسئولیت محدود می‌توانند به عنوان مدیر انتخاب شوند؟,در شرکت با مسئولیت محدود، مدیران می‌توانند از بین شرکاء یا افراد خارج از شرکت برای مدت محدود یا نامحدود انتخاب شوند. (ماده 104)
چه زمانی شرکت با مسئولیت محدود می‌تواند منحل شود؟,شرکت با مسئولیت محدود می‌تواند در صورت تصمیم شرکاء با بیش از نصف سرمایه یا در صورتی که نصف سرمایه شرکت از بین برود و یکی از شرکاء انحلال را درخواست کند، منحل شود. (ماده 114)
شرایط فسخ شرکت تضامنی چیست؟,فسخ شرکت تضامنی در صورتی ممکن است که در اساسنامه حق فسخ سلب نشده باشد و باید شش ماه قبل از فسخ، کتباً به شرکاء اعلام شود. (ماده 137)
در صورت فوت یکی از شرکاء شرکت تضامنی، چه اقداماتی باید انجام شود؟,بقاء شرکت تضامنی موقوف به رضایت سایر شرکاء و قائم مقام متوفی است، و قائم مقام باید در مدت یک ماه از تاریخ فوت، رضایت یا عدم رضایت خود را اعلام کند. (ماده 139)
چگونه انتقال سهم‌الشرکه در شرکت با مسئولیت محدود انجام می‌گیرد؟,انتقال سهم‌الشرکه فقط با رضایت عدة از شرکاء که لااقل سه ربع سرمایه متعلق به آنها باشد و از طریق سند رسمی امکان‌پذیر است. (مواد 102 و 103)
چه کسانی مسئول خسارات ناشی از بطلان شرکت با مسئولیت محدود هستند؟,شرکائی که بطلان مستند به عمل آنها است و هیئت نظار و مدیرهایی که در حین حدوث سبب بطلان یا بلافاصله پس از آن سر کار بوده‌اند، متضامناً مسئول هستند. (ماده 101)
چه زمانی یک شرکت تضامنی می‌تواند به شرکت سهامی مبدل شود؟,هر شرکت تضامنی با تصویب تمام شرکاء می‌تواند به شرکت سهامی مبدل شود، با رعایت تمام مقررات مربوط به شرکت‌های سهامی. (ماده 135)
